disease,description,symptoms
Appendicitis,"Appendicitis is swelling and infection in your appendix (part of your bowel). It usually causes pain in the lower right side of your abdomen (tummy). It needs urgent treatment in hospital.
Symptoms of appendicitis usually start with pain in the middle of your abdomen (tummy), around your belly button. After a few hours the pain usually moves to the lower right side of your abdomen, and gets worse.","Symptoms of appendicitis usually start with pain in the middle of your abdomen (tummy), around your belly button. After a few hours the pain usually moves to the lower right side of your abdomen, and gets worse.
The pain may feel worse when you move, cough or press on the area. It may feel slightly better when you pull your knees up to your chest.
Some people with appendicitis do not have the usual pain symptoms. For example, you might have pain that's less severe, develops more slowly, or in a different place. This can be more likely if you're pregnant and in young children and older people.
Other symptoms of appendicitis can include:
- feeling or being sick, or loss of appetite
- a high temperature
- constipation or diarrhoea
- peeing more than usual
- sudden confusion (in older people)
If appendicitis is not treated quickly, your appendix can burst. If this happens your pain may suddenly get better for a short time. You'll then usually have severe pain that spreads to the whole of your abdomen. It may be very painful to move."
Heart rhythm problems (arrhythmia),"Heart rhythm problems (arrhythmia) are when your heart beats too quickly or too slowly, or your heartbeat is not steady. It might not be serious but see a GP if you think you're having symptoms.
There are different types of heart rhythm problem.","There are different types of heart rhythm problem.
You may have a fast heartbeat (tachycardia), a slow heartbeat (bradycardia) or an irregular heartbeat where the rhythm changes.
This can make you feel:
- like your heart is pounding, racing, fluttering or missing a beat (heart palpitations) – this may last for a few seconds up to a few minutes
- short of breath
- lightheaded, dizzy or like you might faint
- tired
- chest pain or discomfort
Having these symptoms does not necessarily mean you have a heart rhythm problem."
"Overview
    
 - 
      Arthritis","Arthritis is a common condition that causes pain and inflammation in a joint.
In the UK, millions of people have arthritis or other, similar conditions that affect the joints.","There are lots of different types of arthritis.
The symptoms you experience will vary depending on the type you have.
This is why it's important to have an accurate diagnosis if you have:
- joint pain, tenderness and stiffness
- inflammation in and around the joints
- restricted movement of the joints
- warm red skin over the affected joint
- weakness and muscle wasting"
"What is an arthroscopy?
    
 - 
      Arthroscopy",Page last reviewed: 09 June 2022Next review due: 09 June 2025,N/A
Asbestosis,"Asbestosis is a rare but serious lung condition that affects people exposed to asbestos(a building material usedfrom the 1950s to the 1990s).It cannot be cured, buttreatment may improve the symptoms.
You may be able to claim compensation if you get asbestosis.","Symptoms of asbestosis include:
- shortness of breath
- persistent cough
- wheezing
- extreme tiredness (fatigue)
- pain in your chest or shoulder
- in more advanced cases, clubbed (swollen) fingertips
It can take 20 to 30 years after being exposed to asbestos before symptoms appear.
There are sometimes no symptoms."
Autism,"This guide can help if you or someone you care about is autistic or might be autistic.
An introduction to what autism is and how it affects people",N/A
Aspergillosis,"Aspergillosis is a condition caused by aspergillus mould. There are several different types of aspergillosis. Most affect the lungs and cause breathing difficulties.
Aspergillosis is usually caused by breathing in tiny bits of mould.","Symptoms of aspergillosis include:
- shortness of breath
- a cough – you may cough up blood or lumps of mucus
- wheezing
- a high temperature
- losing weight without trying
- feeling tired
If you already have a lung condition, your symptoms may get worse."
Asthma,"Asthma is a common condition that affects your breathing. It cannot currently be cured, but if it's well treated you should not have problems with symptoms.
The main symptoms of asthma are problems with breathing, such as:","The main symptoms of asthma are problems with breathing, such as:
- wheezing
- coughing
- shortness of breath
- your chest feeling tight
Asthma symptoms can be mild or severe. They usually come and go. They may be worse at night and early in the morning.
An asthma attack is when you have severe symptoms and it's difficult to breathe, which can be life-threatening.
Symptoms can be triggered by different things including exercise, high levels of air pollution, cold air, or contact with something you're allergic to, such as pollen, dust, mould or animals.
Asthma usually starts in children, but it can happen at any age."
Astigmatism,"Astigmatism is a common eye condition that can cause blurry vision. It's usually treated using glasses or contact lenses.
Astigmatism means your eye is shaped more like a rugby ball than a football, so light is focused at more than 1 place in the eye.","- blurred vision
- headaches
- eye strain – you may notice this after concentrating for a long time, such as when using a computer"
"Overview
    
 - 
      Ataxia","Ataxia is a term for a group of disorders that affect co-ordination, balance and speech.
Any part of the body can be affected, but people with ataxia often have difficulties with:","- problems with balance and co-ordination, often causing wobbliness, clumsiness and frequentfalls
- increasingly slurred, slow and unclear speech (dysarthria)
- increasing weakness in the legs – many people find walking difficult and need to use a wheelchair after around 10 to 20 years
- difficulty swallowing (dysphagia)
- abnormal curvature of the spine (scoliosis)
- total or partialvision lossandhearing loss
- diabetes
- thickening of the heart muscles (hypertrophic cardiomyopathy), which can causechest pain,breathlessnessand an irregular heartbeat
- loss of sensation in the hands and feet (peripheral neuropathy)"
Atherosclerosis,"Atherosclerosis is where your arteries become narrowed, making it difficult for blood to flow through them. It increases your risk of heart attack and stroke.
Lifestyle changes, like stopping smoking, eating healthily and exercising regularly, can help stop atherosclerosis getting worse.","- chest pain
- pain in your arms and legs, especially when exercising
- feeling short of breath
- feeling tired all the time
- feeling weak
- feeling confused"
Athlete's foot,"Athlete's foot is a common fungal infection that affects the feet. You can usually treat it with creams, sprays or powders from a pharmacy, but it can keep coming back.
One of the main symptoms of athlete's foot is itchy white patches between your toes.","One of the main symptoms of athlete's foot is itchy white patches between your toes.
It can also cause sore and flaky patches on your feet.
The skin can look red, but this may be less noticeable on brown or black skin.
Sometimes the skin on your feet may become cracked or bleed."
